Longitude,Latitude
9.063255,48.958943
9.063266,48.958883
9.063282,48.958823
9.063298,48.958760
9.063309,48.958700
9.063320,48.958623
9.063330,48.958556
9.063336,48.958478
9.063325,48.958408
9.063309,48.958323
9.063298,48.958253
9.063282,48.958165
9.063266,48.958098
9.063250,48.958031
9.063218,48.957950
9.063207,48.957883
9.063186,48.957816
9.063159,48.957746
9.063148,48.957675
9.063132,48.957605
9.063105,48.957534
9.063078,48.957471
9.063051,48.957407
9.063046,48.957341
9.063030,48.957277
9.063009,48.957214
9.062987,48.957154
9.062966,48.957083
9.062950,48.957027
9.062928,48.956960
9.062912,48.956897
9.062891,48.956830
9.062874,48.956770
9.062853,48.956710
9.062853,48.956657
9.062832,48.956573
9.062815,48.956502
9.062805,48.956425
9.062789,48.956340
9.062778,48.956273
9.062762,48.956199
9.062751,48.956139
9.062740,48.956080
9.062730,48.956027
9.062708,48.955942
9.062697,48.955907
9.062687,48.955868
9.062687,48.955844
9.062681,48.955826
9.062628,48.955819
9.062574,48.955819
9.062467,48.955826
9.062349,48.955833
9.062236,48.955837
9.062145,48.955844
9.062038,48.955854
9.061936,48.955858
9.061828,48.955865
9.061705,48.955875
9.061598,48.955882
9.061517,48.955882
9.061431,48.955882
9.061340,48.955889
9.061254,48.955896
9.061147,48.955907
9.061110,48.955914
9.061056,48.955914
9.060970,48.955914
9.060884,48.955925
9.060788,48.955939
9.060686,48.955942
9.060498,48.955967
9.060418,48.955967
9.060289,48.955981
9.060203,48.955988
9.060128,48.956006
9.060063,48.956020
9.060010,48.956034
9.059956,48.956062
9.059913,48.956104
9.059886,48.956129
9.059860,48.956164
9.059833,48.956196
9.059806,48.956242
9.059785,48.956270
9.059752,48.956298
9.059731,48.956344
9.059715,48.956383
9.059693,48.956421
9.059688,48.956471
9.059688,48.956527
9.059688,48.956555
9.059688,48.956576
9.059634,48.956601
9.059575,48.956633
9.059506,48.956654
9.059457,48.956685
9.059414,48.956707
9.059382,48.956717
9.059350,48.956700
9.059334,48.956664
9.059286,48.956629
9.059243,48.956580
9.059211,48.956534
9.059178,48.956485
9.059135,48.956435
9.059060,48.956361
9.059023,48.956312
9.058969,48.956270
9.058905,48.956224
9.058867,48.956185
9.058814,48.956147
9.058749,48.956115
9.058706,48.956101
9.058631,48.956083
9.058535,48.956066
9.058438,48.956048
9.058347,48.956030
9.058266,48.956009
9.058154,48.956002
9.058046,48.955988
9.057950,48.955960
9.057848,48.955946
9.057725,48.955935
9.057660,48.955914
9.057617,48.955911
9.057580,48.955907
9.057580,48.955946
9.057585,48.956009
9.057580,48.956090
9.057569,48.956147
9.057558,48.956203
9.057542,48.956266
9.057537,48.956333
9.057521,48.956393
9.057489,48.956464
9.057489,48.956537
9.057467,48.956590
9.057451,48.956650
9.057435,48.956721
9.057408,48.956798
9.057376,48.956865
9.057344,48.956950
9.057344,48.957027
9.057344,48.957112
9.057328,48.957168
9.057317,48.957242
9.057312,48.957316
9.057317,48.957408
9.057317,48.957496
9.057312,48.957573
