Longitude,Latitude
9.069217,48.959410
9.069314,48.959448
9.069410,48.959477
9.069507,48.959512
9.069603,48.959551
9.069684,48.959582
9.069775,48.959610
9.069882,48.959646
9.069984,48.959677
9.070086,48.959706
9.070156,48.959730
9.070236,48.959758
9.070338,48.959787
9.070408,48.959818
9.070521,48.959857
9.070622,48.959896
9.070714,48.959952
9.070821,48.959991
9.070891,48.960030
9.070966,48.960065
9.071030,48.960107
9.071111,48.960142
9.071132,48.960185
9.071154,48.960241
9.071180,48.960294
9.071202,48.960343
9.071218,48.960378
9.071223,48.960403
9.071288,48.960399
9.071379,48.960392
9.071454,48.960382
9.071567,48.960357
9.071663,48.960350
9.071760,48.960343
9.071867,48.960326
9.071958,48.960318
9.072033,48.960311
9.072092,48.960308
9.072173,48.960294
9.072259,48.960283
9.072312,48.960280
9.072403,48.960266
9.072511,48.960255
9.072613,48.960245
9.072725,48.960237
9.072827,48.960223
9.072940,48.960209
9.073010,48.960209
9.073106,48.960202
9.073197,48.960185
9.073321,48.960181
9.073412,48.960167
9.073476,48.960171
9.073568,48.960160
9.073669,48.960153
9.073782,48.960146
9.073889,48.960139
9.073986,48.960128
9.074099,48.960118
9.074152,48.960111
9.074222,48.960104
9.074308,48.960100
9.074415,48.960090
9.074474,48.960086
9.074517,48.960079
9.074614,48.960068
9.074683,48.960061
9.074764,48.960047
9.074876,48.960044
9.074973,48.960030
9.075086,48.960019
9.075188,48.960009
9.075247,48.960001
9.075327,48.959987
9.075440,48.959980
9.075526,48.959970
9.075601,48.959963
9.075729,48.959956
9.075821,48.959945
9.075949,48.959931
9.076067,48.959917
9.076175,48.959913
9.076271,48.959906
9.076378,48.959889
9.076470,48.959882
9.076518,48.959875
9.076550,48.959871
9.076550,48.959854
9.076572,48.959822
9.076631,48.959790
9.076700,48.959783
9.076749,48.959790
9.076775,48.959808
9.076797,48.959825
9.076797,48.959836
9.076910,48.959818
9.077028,48.959797
9.077140,48.959780
9.077231,48.959758
9.077317,48.959744
9.077425,48.959727
9.077500,48.959713
9.077591,48.959699
9.077714,48.959677
9.077821,48.959656
9.077907,48.959646
9.077999,48.959628
9.078079,48.959618
9.078197,48.959593
9.078336,48.959565
9.078460,48.959547
9.078578,48.959529
9.078707,48.959508
9.078814,48.959491
9.078932,48.959473
9.079093,48.959445
9.079227,48.959427
9.079345,48.959396
9.079479,48.959367
9.079602,48.959353
9.079731,48.959332
9.079860,48.959311
9.080016,48.959286
9.080144,48.959265
9.080268,48.959251
9.080370,48.959230
9.080413,48.959212
9.080466,48.959174
9.080509,48.959131
9.069260,48.959430
9.069340,48.959458
9.069448,48.959490
9.069555,48.959532
9.069646,48.959567
9.069732,48.959592
9.069823,48.959623
9.069914,48.959659
9.070032,48.959687
9.070118,48.959722
9.070193,48.959754
9.070279,48.959778
9.070376,48.959810
9.070451,48.959845
9.070569,48.959884
9.070633,48.959916
9.070767,48.959965
9.070885,48.960007
9.070934,48.960043
9.070998,48.960085
9.071073,48.960127
9.071132,48.960176
9.071159,48.960226
9.071170,48.960261
9.071202,48.960324
9.071218,48.960384
9.071239,48.960409
9.071341,48.960391
9.071438,48.960381
9.071524,48.960356
9.071626,48.960349
9.071706,48.960349
9.071808,48.960324
9.071931,48.960321
9.072006,48.960307
9.072082,48.960307
9.072162,48.960300
9.072237,48.960282
9.072366,48.960264
9.072473,48.960257
9.072564,48.960247
9.072672,48.960240
9.072790,48.960229
9.072870,48.960219
9.072977,48.960205
9.073074,48.960198
9.073165,48.960194
9.073267,48.960191
9.073348,48.960183
9.073428,48.960166
9.073530,48.960155
9.073627,48.960155
9.073739,48.960141
9.073868,48.960134
9.073948,48.960127
9.074045,48.960120
9.074131,48.960106
9.074184,48.960102
9.074265,48.960095
9.074372,48.960085
9.074458,48.960074
9.074517,48.960067
9.074603,48.960064
9.074678,48.960057
9.074758,48.960053
9.074844,48.960043
9.074935,48.960029
9.075016,48.960018
9.075123,48.960014
9.075204,48.960000
9.075295,48.959993
9.075413,48.959986
9.075488,48.959962
9.075563,48.959969
9.075660,48.959962
9.075783,48.959944
9.075885,48.959940
9.075987,48.959926
9.076100,48.959919
9.076180,48.959912
9.076234,48.959905
9.076309,48.959902
9.076389,48.959891
9.076459,48.959877
9.076523,48.959870
9.076534,48.959835
9.076598,48.959800
9.076652,48.959782
9.076722,48.959782
9.076792,48.959807
9.076808,48.959824
9.076829,48.959831
9.076915,48.959807
9.076995,48.959800
9.077065,48.959785
9.077156,48.959771
9.077221,48.959764
9.077290,48.959757
9.077366,48.959743
9.077435,48.959722
9.077510,48.959711
9.077602,48.959704
9.077661,48.959683
9.077746,48.959680
9.077848,48.959662
9.077929,48.959641
9.078047,48.959623
9.078159,48.959599
9.078283,48.959588
9.078385,48.959564
9.078492,48.959553
9.078605,48.959528
9.078696,48.959514
9.078809,48.959493
9.078921,48.959479
9.078996,48.959468
9.079066,48.959451
9.079152,48.959440
9.079243,48.959416
9.079345,48.959398
9.079452,48.959387
9.079549,48.959363
9.079640,48.959342
9.079742,48.959331
9.079849,48.959313
9.079957,48.959296
9.080048,48.959271
9.080209,48.959254
9.080337,48.959236
9.080434,48.959211
9.080461,48.959176
