Longitude,Latitude
9.073937,48.957638
9.073959,48.957688
9.073975,48.957720
9.073927,48.957745
9.073814,48.957766
9.073718,48.957787
9.073616,48.957801
9.073519,48.957829
9.073417,48.957847
9.073337,48.957868
9.073240,48.957893
9.073127,48.957917
9.073031,48.957938
9.072924,48.957956
9.072827,48.957974
9.072730,48.957991
9.072618,48.958023
9.072489,48.958040
9.072403,48.958055
9.072296,48.958079
9.072183,48.958111
9.072028,48.958132
9.071947,48.958153
9.071845,48.958178
9.071743,48.958202
9.071636,48.958234
9.071534,48.958266
9.071427,48.958294
9.071346,48.958333
9.071239,48.958379
9.071116,48.958428
9.070998,48.958463
9.070923,48.958519
9.070842,48.958565
9.070697,48.958611
9.070612,48.958664
9.070526,48.958717
9.070424,48.958766
9.070327,48.958826
9.070252,48.958872
9.070150,48.958925
9.070059,48.958977
9.069962,48.959023
9.069882,48.959076
9.069780,48.959122
9.069670,48.959167
9.069568,48.959216
9.069456,48.959280
9.069348,48.959339
9.069246,48.959385
9.069241,48.959420
9.069281,48.959446
9.069329,48.959456
9.069343,48.959494
9.069359,48.959590
9.069381,48.959692
9.069402,48.959804
9.069423,48.959910
9.069445,48.960009
9.069456,48.960062
9.069483,48.960164
9.069504,48.960245
9.069525,48.960315
9.069552,48.960393
9.069574,48.960470
9.069601,48.960530
9.069633,48.960579
9.069692,48.960572
9.069810,48.960562
9.069912,48.960544
9.070046,48.960530
9.070185,48.960516
9.070330,48.960502
9.070475,48.960484
9.070598,48.960467
9.070711,48.960456
9.070883,48.960438
9.071017,48.960421
9.071119,48.960410
9.071223,48.960400
9.071282,48.960397
9.071368,48.960383
9.071475,48.960372
9.071566,48.960362
9.071652,48.960351
9.071727,48.960348
9.071808,48.960333
9.071894,48.960326
9.071985,48.960316
9.072065,48.960302
9.072097,48.960344
9.072092,48.960429
9.072092,48.960492
9.072097,48.960555
9.072097,48.960598
9.072092,48.960640
9.072092,48.960679
9.072097,48.960735
9.072097,48.960791
9.072097,48.960851
9.072103,48.960893
9.072103,48.960932
9.072097,48.960981
9.072097,48.961024
9.072092,48.961070
9.072178,48.961073
9.072258,48.961070
9.072366,48.961070
9.072446,48.961070
9.072511,48.961070
9.072580,48.961070
9.072650,48.961070
9.072725,48.961066
9.072811,48.961066
9.072902,48.961066
9.072977,48.961066
9.073063,48.961070
9.073117,48.961073
9.073117,48.961119
9.073127,48.961175
9.073138,48.961228
9.073149,48.961291
9.073149,48.961334
9.073149,48.961386
9.073154,48.961446
9.073160,48.961503
9.073160,48.961552
9.073160,48.961598
9.073165,48.961661
9.073165,48.961714
9.073170,48.961760
9.073176,48.961795
9.073170,48.961820
9.073251,48.961823
9.073353,48.961827
9.073433,48.961823
9.073498,48.961823
9.073567,48.961820
9.073648,48.961816
9.073739,48.961823
9.073868,48.961830
9.073943,48.961830
9.074039,48.961837
9.074115,48.961837
9.074195,48.961837
9.074297,48.961841
9.074345,48.961848
9.074383,48.961858
9.074361,48.961890
9.074345,48.961915
9.074334,48.961939
9.074334,48.961968
9.074334,48.962006
9.074340,48.962066
9.074351,48.962105
9.074361,48.962161
9.074372,48.962218
9.074372,48.962267
9.074383,48.962330
9.074399,48.962394
9.074393,48.962447
9.074404,48.962503
9.074415,48.962552
9.074420,48.962612
9.074431,48.962672
9.074431,48.962725
9.074436,48.962774
9.074442,48.962820
9.074442,48.962855
9.074361,48.962859
