Longitude,Latitude
9.061598,48.962056
9.061504,48.962045
9.061439,48.962038
9.061370,48.962031
9.061338,48.962031
9.061327,48.962031
9.061316,48.962027
9.061289,48.962013
9.061268,48.961985
9.061246,48.961950
9.061225,48.961914
9.061193,48.961844
9.061155,48.961784
9.061134,48.961728
9.061118,48.961675
9.061091,48.961618
9.061059,48.961566
9.061026,48.961495
9.061000,48.961446
9.060978,48.961393
9.060951,48.961340
9.060919,48.961305
9.060860,48.961280
9.060801,48.961252
9.060753,48.961235
9.060721,48.961220
9.060710,48.961196
9.060710,48.961171
9.060715,48.961136
9.060753,48.961069
9.060839,48.960995
9.060887,48.960942
9.060935,48.960886
9.060983,48.960837
9.061037,48.960773
9.061118,48.960699
9.061171,48.960643
9.061241,48.960587
9.061321,48.960537
9.061402,48.960495
9.061472,48.960453
9.061557,48.960410
9.061627,48.960375
9.061681,48.960340
9.061756,48.960312
9.061826,48.960273
9.061885,48.960248
9.061944,48.960206
9.061981,48.960181
9.062030,48.960153
9.062083,48.960129
9.062148,48.960093
9.062217,48.960055
9.062298,48.960016
9.062357,48.959991
9.062437,48.959956
9.062512,48.959921
9.062577,48.959889
9.062663,48.959857
9.062727,48.959815
9.062781,48.959791
9.062850,48.959759
9.062931,48.959724
9.063000,48.959699
9.063065,48.959657
9.063129,48.959636
9.063220,48.959604
9.063290,48.959593
9.063338,48.959586
9.063424,48.959576
9.063510,48.959565
9.063574,48.959562
9.063655,48.959558
9.063757,48.959551
9.063870,48.959547
9.063934,48.959544
9.064036,48.959540
9.064127,48.959540
9.064191,48.959526
9.064347,48.959516
9.064411,48.959512
9.064492,48.959495
9.064578,48.959477
9.064653,48.959463
9.064739,48.959452
9.064808,48.959438
9.064921,48.959424
9.065023,48.959400
9.065146,48.959382
9.065254,48.959375
9.065372,48.959361
9.065490,48.959350
9.065602,48.959333
9.065731,48.959319
9.065854,48.959304
9.065972,48.959297
9.066117,48.959276
9.066246,48.959262
9.066359,48.959259
9.066466,48.959252
9.066573,48.959248
9.066691,48.959248
9.066825,48.959262
9.066938,48.959283
9.067035,48.959315
9.067120,48.959350
9.067174,48.959385
9.067233,48.959421
9.067292,48.959438
9.067362,48.959456
9.067448,48.959481
9.067555,48.959505
9.067662,48.959523
9.067769,48.959526
9.067871,48.959530
9.067952,48.959530
9.068032,48.959533
9.068123,48.959533
9.068209,48.959533
9.068311,48.959540
9.068408,48.959540
9.068483,48.959540
9.068579,48.959540
9.068660,48.959533
9.068773,48.959526
9.068853,48.959516
9.068934,48.959491
9.069030,48.959474
9.069132,48.959442
9.069218,48.959403
9.069298,48.959364
9.069357,48.959329
9.069416,48.959294
9.069497,48.959262
9.069556,48.959223
9.069631,48.959188
9.069679,48.959160
9.069749,48.959118
9.069829,48.959079
9.069899,48.959044
9.069980,48.959005
9.070049,48.958970
9.070108,48.958935
9.070167,48.958906
9.070237,48.958861
9.070323,48.958825
9.070403,48.958773
9.070473,48.958741
9.070564,48.958699
9.070634,48.958656
9.070682,48.958621
9.070741,48.958593
9.070806,48.958561
9.070870,48.958530
9.070929,48.958501
9.071004,48.958463
9.071085,48.958424
9.071176,48.958399
9.071272,48.958350
9.071369,48.958315
9.071482,48.958276
9.071589,48.958244
9.071664,48.958223
9.071777,48.958198
9.071873,48.958174
9.071981,48.958149
9.072093,48.958132
9.072206,48.958100
9.072324,48.958075
9.072431,48.958054
9.072544,48.958029
9.072651,48.958008
9.072758,48.957984
9.072850,48.957966
9.072951,48.957941
9.073053,48.957917
9.073161,48.957899
9.073263,48.957881
9.073348,48.957864
9.073456,48.957846
9.073568,48.957815
9.073713,48.957786
9.073826,48.957769
9.073960,48.957741
9.074067,48.957719
9.074180,48.957698
9.074287,48.957674
9.074405,48.957652
9.074529,48.957624
9.074614,48.957607
9.074722,48.957582
9.074818,48.957575
9.074915,48.957550
9.075011,48.957536
9.075135,48.957512
9.075242,48.957487
9.075365,48.957462
9.075435,48.957448
9.075537,48.957431
9.075591,48.957417
9.075634,48.957413
9.075644,48.957392
9.075644,48.957367
9.075661,48.957343
9.075703,48.957328
9.075768,48.957314
9.075821,48.957314
9.075864,48.957321
9.075913,48.957350
9.075913,48.957364
9.075913,48.957364
9.075907,48.957381
9.075891,48.957402
9.075880,48.957434
9.075859,48.957455
9.075816,48.957473
9.075800,48.957498
9.075800,48.957533
9.075811,48.957575
9.075832,48.957649
9.075864,48.957723
9.075886,48.957786
9.075907,48.957843
9.075934,48.957917
9.075956,48.957984
9.075982,48.958061
9.076009,48.958124
9.076036,48.958198
9.076063,48.958283
9.076100,48.958360
9.076116,48.958417
9.076133,48.958470
9.076143,48.958501
9.076170,48.958533
9.076224,48.958530
9.076277,48.958544
9.076326,48.958579
9.076336,48.958639
9.076288,48.958670
9.076240,48.958688
9.076224,48.958702
9.076240,48.958744
9.076272,48.958808
9.076304,48.958864
9.076320,48.958935
9.076336,48.958984
9.076363,48.959061
9.076401,48.959156
9.076422,48.959227
9.076454,48.959297
9.076481,48.959361
9.076508,48.959428
9.076524,48.959498
9.076562,48.959565
9.076589,48.959643
9.076605,48.959695
9.076615,48.959752
9.076642,48.959783
9.076707,48.959790
9.076744,48.959801
9.076776,48.959822
9.076792,48.959854
9.076808,48.959893
9.076782,48.959921
9.076739,48.959938
9.076707,48.959952
9.076712,48.960009
9.076712,48.960048
9.076717,48.960093
9.076723,48.960153
9.076733,48.960206
9.076749,48.960301
9.076755,48.960351
9.076755,48.960400
9.076755,48.960453
9.076755,48.960509
9.076760,48.960569
9.076766,48.960636
9.076771,48.960692
9.076771,48.960756
9.076792,48.960826
9.076819,48.960889
9.076835,48.960960
9.076868,48.961037
9.076894,48.961111
9.076921,48.961199
9.076948,48.961284
9.076975,48.961358
9.076996,48.961414
9.077023,48.961513
9.077055,48.961590
9.077066,48.961661
9.077071,48.961731
9.077077,48.961791
9.077050,48.961858
9.077034,48.961900
9.077028,48.961935
9.076996,48.961967
9.076948,48.962006
9.076889,48.962048
9.076851,48.962080
9.076803,48.962126
9.076749,48.962168
9.076696,48.962207
9.076637,48.962249
9.076589,48.962274
9.076513,48.962316
9.076449,48.962376
9.076379,48.962418
9.076331,48.962457
9.076272,48.962499
9.076213,48.962538
9.076165,48.962573
9.076095,48.962608
9.076025,48.962633
9.075982,48.962650
9.075913,48.962668
9.075832,48.962689
9.075730,48.962714
9.075644,48.962735
9.075542,48.962760
9.075408,48.962781
9.075323,48.962795
9.075199,48.962809
9.075065,48.962812
9.074904,48.962826
9.074791,48.962837
9.074679,48.962841
9.074572,48.962851
9.074486,48.962858
9.074427,48.962865
9.074346,48.962865
9.074234,48.962879
9.074148,48.962883
9.074062,48.962879
9.073971,48.962893
9.073847,48.962900
9.073745,48.962911
9.073627,48.962918
9.073536,48.962922
9.073440,48.962929
9.073322,48.962936
9.073230,48.962943
9.073123,48.962943
9.073027,48.962950
9.072925,48.962960
9.072823,48.962967
9.072726,48.962967
9.072656,48.962971
9.072565,48.962978
9.072469,48.962985
9.072383,48.962992
9.072302,48.963003
9.072211,48.963006
9.072125,48.963017
9.071991,48.963020
9.071932,48.963024
9.071820,48.963024
9.071739,48.963034
9.071653,48.963041
9.071557,48.963031
9.071449,48.963006
9.071385,48.962981
9.071310,48.962964
9.071240,48.962946
9.071074,48.962900
9.070951,48.962858
9.070849,48.962830
9.070752,48.962805
9.070666,48.962784
9.070618,48.962767
9.070505,48.962742
9.070387,48.962700
9.070285,48.962675
9.070210,48.962647
9.070103,48.962615
9.069985,48.962583
9.069899,48.962555
9.069819,48.962527
9.069776,48.962513
9.069722,48.962492
9.069642,48.962460
9.069550,48.962439
9.069470,48.962411
9.069357,48.962383
9.069250,48.962355
9.069186,48.962323
9.069105,48.962302
9.069003,48.962274
9.068907,48.962238
9.068842,48.962210
9.068751,48.962193
9.068649,48.962164
9.068574,48.962136
9.068494,48.962115
9.068397,48.962083
9.068311,48.962055
9.068252,48.962041
9.068150,48.962009
9.068097,48.961988
9.068038,48.961971
9.067984,48.961932
9.067925,48.961897
9.067893,48.961872
9.067871,48.961851
9.067855,48.961830
9.067877,48.961805
9.067893,48.961773
9.067920,48.961731
9.067930,48.961706
9.067941,48.961671
9.067941,48.961640
9.067941,48.961583
9.067936,48.961513
9.067936,48.961449
9.067925,48.961400
9.067909,48.961330
9.067898,48.961270
9.067887,48.961206
9.067882,48.961146
9.067866,48.961080
9.067855,48.961027
9.067845,48.960963
9.067834,48.960903
9.067818,48.960826
9.067812,48.960787
9.067807,48.960759
9.067802,48.960734
9.067786,48.960671
9.067775,48.960625
9.067769,48.960572
9.067748,48.960513
9.067737,48.960453
9.067727,48.960424
9.067721,48.960389
9.067716,48.960351
9.067710,48.960312
9.067700,48.960262
9.067694,48.960203
9.067673,48.960139
9.067673,48.960079
9.067662,48.960051
9.067641,48.960019
9.067609,48.959956
9.067576,48.959893
9.067544,48.959843
9.067517,48.959791
9.067490,48.959731
9.067464,48.959671
9.067458,48.959618
9.067458,48.959576
9.067458,48.959540
9.067464,48.959505
9.067496,48.959484
9.067609,48.959512
9.067727,48.959523
9.067828,48.959533
9.067914,48.959537
9.067995,48.959540
9.068075,48.959544
9.068177,48.959544
9.068306,48.959540
9.068365,48.959540
9.068451,48.959540
9.068542,48.959537
9.068697,48.959530
9.068816,48.959523
9.068891,48.959502
9.068976,48.959474
9.069078,48.959442
9.069164,48.959424
9.069266,48.959378
9.069336,48.959333
9.069390,48.959301
9.069465,48.959269
9.069534,48.959227
9.069588,48.959206
9.069674,48.959160
9.069722,48.959132
9.069792,48.959100
9.069867,48.959061
9.069931,48.959023
9.070006,48.958984
9.070103,48.958942
9.070173,48.958892
9.070232,48.958861
9.070296,48.958825
9.070355,48.958804
9.070430,48.958769
9.070484,48.958723
9.070570,48.958692
9.070629,48.958663
9.070666,48.958635
9.070747,48.958593
9.070833,48.958561
9.070892,48.958526
9.070956,48.958487
9.071015,48.958463
9.071111,48.958431
9.071176,48.958392
9.071256,48.958360
9.071353,48.958329
9.071449,48.958279
9.071514,48.958269
9.071562,48.958248
9.071659,48.958216
9.071744,48.958202
9.071830,48.958181
9.071905,48.958160
9.071986,48.958146
9.072093,48.958132
9.072190,48.958107
9.072254,48.958089
9.072324,48.958072
9.072442,48.958051
9.072544,48.958029
9.072614,48.958012
9.072689,48.958001
9.072742,48.957987
9.072839,48.957969
9.072925,48.957959
9.072994,48.957941
9.073037,48.957927
9.073134,48.957910
9.073268,48.957881
9.073322,48.957867
9.073407,48.957853
9.073472,48.957836
9.073542,48.957822
9.073643,48.957793
9.073713,48.957783
9.073815,48.957762
9.073928,48.957744
9.074040,48.957723
9.074158,48.957695
9.074234,48.957688
9.074335,48.957667
9.074400,48.957656
9.074486,48.957638
9.074561,48.957624
9.074609,48.957621
9.074690,48.957596
9.074765,48.957582
9.074813,48.957568
9.074861,48.957564
9.074915,48.957554
9.074947,48.957550
9.075022,48.957529
9.075097,48.957522
9.075162,48.957512
9.075237,48.957494
9.075312,48.957483
9.075387,48.957466
9.075462,48.957448
9.075516,48.957438
9.075580,48.957427
9.075612,48.957424
9.075623,48.957402
9.075703,48.957318
9.075746,48.957304
9.075811,48.957304
9.075864,48.957328
9.075891,48.957346
9.075902,48.957424
9.075886,48.957448
9.075864,48.957459
9.075816,48.957473
9.075779,48.957483
9.075795,48.957519
9.075800,48.957554
9.075821,48.957600
9.075838,48.957652
9.075859,48.957702
9.075870,48.957751
9.075886,48.957797
9.075902,48.957846
9.075923,48.957888
9.075939,48.957945
9.075950,48.957987
9.075972,48.958033
9.075998,48.958096
9.076025,48.958167
9.076047,48.958223
9.076057,48.958276
9.076079,48.958346
9.076095,48.958399
9.076106,48.958456
9.076127,48.958494
9.076154,48.958540
9.076213,48.958540
9.076267,48.958547
9.076310,48.958582
9.076315,48.958621
9.076315,48.958653
9.076272,48.958674
